52.72,2.83,8.9
52.72,3.67,12.6
52.72,4,13.6
52.73,2.3,4.9
52.73,2.33,9.5
52.73,2.42,10.8
52.73,2.95,13.88
52.73,2.97,14.1
52.73,3.6,10.4
52.73,3.67,3.9
52.73,3.93,9.43
52.73,3.98,5.2
52.73,4,14.05
52.73,4.18,13.3
52.75,2.08,12.56666667
52.75,3.33,8.366666667
52.75,3.67,9.809090909
52.75,3.7,9.759128156
52.75,3.82,11.35714286
52.75,4,10.225
52.75,4.5,8.623815149
52.77,1.83,11.1
52.77,2.53,8.3
52.77,2.93,12
52.77,3.5,12.8
52.77,3.6,10.5
52.77,3.67,10.8
52.77,4,13.3
52.78,1.83,12.6
52.78,2,14
52.78,2.25,5.02
52.78,2.8,8.8
52.78,3.67,6.9
52.78,3.73,6.56
52.78,4,14.2
52.78,4.47,13.6
52.8,1.83,6.4
52.8,3.23,11.4
52.8,3.28,5.6
52.8,3.38,9.38
52.8,3.55,8.7
52.8,3.67,15.7
52.8,4,14.15
52.82,1.83,7.23
52.82,1.87,7.38
52.82,2.33,12.5
52.82,2.88,12.14
52.82,3.17,14.1
52.82,3.67,7.53
52.82,4,6.31
52.83,1.63,7.17
52.83,1.83,8.72
52.83,2,4.44
52.83,2.5,5.5
52.83,2.83,14.17
52.83,3.05,10.7
52.83,3.33,6.7
52.83,3.37,13.08
52.83,3.57,14.01
52.83,3.67,8
52.83,4,7.14
52.83,4.25,9.31
52.83,4.28,10.11907574
52.83,4.3,5.82
52.83,4.38,15.95
52.83,4.53,6.3
52.83,4.58,5.3
52.83,4.6,10.8
52.85,1.83,8.7475
52.85,2.83,10.29
52.85,2.97,10.11907574
52.85,3.33,6.4
52.85,3.67,6
52.85,3.83,8.3
52.87,1.68,11.15953787
52.87,1.8,7.6
52.87,1.83,13.9
52.87,2.85,12
52.87,3.17,10.20381515
52.87,3.2,10.2
52.87,3.32,9.15
52.87,3.33,10.7
52.87,3.58,14.8
52.87,3.67,12.93333333
52.87,3.8,11.5
52.87,4,12.96666667
52.87,4.47,9.133333333
52.87,4.53,10.1
52.88,3.22,12.1
52.88,3.33,8.6
52.88,3.38,9.15
52.88,3.67,8.6
